,VOLUME_SESSION,AVG_J_S,Rech_Moy,MNT_FORFAIT_DATA,NB_JOUR_ACT_IN,revenu_cdr,P_revenu_data,P_FF_Journalier,P_FF_mensuel,P_N_Rech_sup5,Evolution volume session,Evolution rech_moy,pca_clusters
2323,29.78,3.78,1.25,0.6,19.167,2.65,0.18,0.5,0.0,0.02,-17,0,1
2324,0.03,14.56,4.88,0.0,2.0,0.07,0.0,0.0,0.0,0.17,0,0,0
2325,1.08,0.0,4.73,0.04,29.833000000000002,11.1,0.0,0.17,0.0,0.95,0,0,1
2326,0.0,0.0,2.81,0.0,28.833000000000002,11.05,0.0,0.0,0.0,0.49,0,0,1
2327,0.0,0.0,1.0,0.0,28.5,6.68,0.0,0.0,0.0,0.0,0,0,0
2328,3161.04,0.0,1.12,1.05,30.0,18.39,0.05,0.5,0.0,0.04,-878,0,0
2329,5633.68,0.0,3.09,19.23,22.166999999999998,3.67,0.85,0.92,0.07,0.6,-7771,0,0
2330,39.26,0.0,2.13,6.1,30.0,13.8,0.31,0.27,0.03,0.29,5,0,0
2331,0.0,0.0,4.77,0.0,29.833000000000002,13.29,0.0,0.0,0.0,0.95,0,0,0
2332,0.0,0.0,5.06,0.0,11.667,0.79,0.0,0.0,0.0,0.33,0,1,1
2334,605.59,0.0,5.0,3.83,28.166999999999998,24.5,0.14,0.93,0.07,1.0,36,0,0
2336,14.53,0.0,1.17,0.3,30.0,18.45,0.05,0.17,0.0,0.06,0,0,0
2337,0.52,1.0,1.0,0.0,17.833,3.44,0.0,0.0,0.0,0.0,0,0,0
2338,0.0,13.33,1.0,0.0,5.667000000000001,0.31,0.0,0.0,0.0,0.0,0,0,2
2339,0.0,16.71,1.0,0.0,18.333,0.1,0.76,0.0,0.0,0.0,0,0,0
2340,0.07,0.0,4.99,0.0,27.333000000000002,8.73,0.07,0.0,0.0,1.0,0,0,1
2341,3836.71,0.0,2.14,15.82,27.833000000000002,4.47,0.78,0.92,0.08,0.22,1555,0,2
2342,0.0,0.0,1.19,0.0,30.0,26.12,0.09,0.0,0.0,0.06,0,0,0
2343,0.0,0.0,4.87,0.0,29.833000000000002,27.79,0.0,0.0,0.0,0.98,0,0,0
2344,50.44,0.0,3.96,0.3,30.0,17.6,0.02,0.33,0.0,0.78,24,0,0
2345,0.0,0.0,1.49,0.0,27.833000000000002,13.37,0.02,0.0,0.0,0.16,0,0,1
2346,0.0,0.0,1.02,0.0,26.5,10.28,0.0,0.0,0.0,0.0,0,0,0
2347,0.0,0.0,1.15,0.0,30.0,14.54,0.04,0.0,0.0,0.05,0,0,1
2348,899.77,0.0,1.07,4.93,30.0,12.09,0.29,1.0,0.0,0.02,-241,0,0
2349,0.0,3.29,2.61,0.0,10.333,1.7,0.0,0.0,0.0,0.25,0,0,1
2350,0.0,0.0,4.0,0.0,30.0,8.32,0.46,0.0,0.0,0.82,0,0,2
2351,19.81,0.0,4.66,0.13,29.5,16.9,0.01,0.17,0.0,0.95,0,0,0
2352,0.0,1.33,2.99,0.0,16.667,1.85,0.0,0.0,0.0,0.25,0,0,2
2353,0.19,0.0,2.89,0.0,30.0,17.96,0.0,0.0,0.0,0.53,0,0,0
2354,0.63,0.0,1.0,0.0,28.666999999999998,8.34,0.0,0.0,0.0,0.0,0,0,0
2355,110.33,0.0,3.06,0.64,30.0,18.09,0.03,0.33,0.0,0.56,-53,0,0
2356,0.0,0.0,4.9,0.0,26.333000000000002,36.26,0.0,0.0,0.0,0.64,0,0,1
2357,0.0,0.0,5.02,0.0,9.167,7.14,0.0,0.0,0.0,0.83,0,0,1
2358,0.0,0.0,1.64,3.5,30.0,4.08,0.46,0.42,0.0,0.14,0,0,0
2359,6396.71,0.0,2.35,18.68,30.0,1.4,0.93,0.69,0.23,0.38,236,0,1
2360,0.06,0.0,2.11,0.0,30.0,4.63,0.35,0.0,0.0,0.36,0,0,0
2361,0.12,10.14,1.81,0.0,28.0,1.39,0.0,0.0,0.0,0.17,0,0,1
2362,0.0,0.0,4.99,0.0,29.0,14.15,0.0,0.0,0.0,1.0,0,0,1
2363,0.0,0.0,4.81,0.0,26.333000000000002,10.11,0.39,0.0,0.0,0.95,0,0,2
2364,155.57,0.0,2.56,0.0,29.5,6.66,0.0,0.0,0.0,0.35,155,0,0
2365,750.98,0.0,3.67,9.28,29.5,12.7,0.42,0.83,0.01,0.7,-897,0,2
2366,0.0,0.64,1.0,0.15,17.667,3.4,0.04,0.17,0.0,0.0,0,0,0
2367,4966.88,0.0,3.96,21.79,30.0,8.92,0.72,0.69,0.28,0.74,-986,0,0
2368,0.0,1.55,1.0,0.0,27.833000000000002,2.68,0.0,0.0,0.0,0.0,0,0,0
2370,0.06,0.0,4.62,0.0,28.166999999999998,15.92,0.0,0.0,0.0,0.93,0,0,0
2371,3083.43,0.0,3.56,14.73,30.0,0.83,0.95,0.04,0.96,0.65,-288,0,1
2372,0.0,0.0,4.99,0.0,30.0,10.48,0.0,0.0,0.0,1.0,0,0,0
2373,0.03,5.79,1.0,0.0,25.333000000000002,0.31,0.78,0.0,0.0,0.0,0,0,1
2374,97.92,0.0,4.56,0.75,28.833000000000002,13.06,0.05,0.67,0.0,0.89,-18,0,1
2375,0.0,0.0,4.45,0.0,28.666999999999998,20.15,0.0,0.0,0.0,0.88,0,0,1
2377,3334.16,0.0,4.9,16.5,30.0,13.54,0.55,0.0,1.0,0.97,-223,0,1
2378,11.47,0.0,6.24,0.15,30.0,12.91,0.15,0.17,0.0,1.0,11,1,1
2379,0.0,0.0,3.37,5.77,30.0,7.39,0.47,0.45,0.03,0.66,0,0,0
2380,0.11,1.67,4.11,0.0,10.667,5.55,0.0,0.0,0.0,0.58,0,0,0
2381,3581.88,0.0,1.96,9.12,30.0,6.03,0.83,0.65,0.02,0.25,1357,0,0
2382,0.0,0.0,4.55,0.0,26.833000000000002,8.7,0.0,0.0,0.0,0.75,0,0,2
2383,16.43,1.6,2.34,0.0,12.833,0.82,0.0,0.0,0.0,0.08,-12,0,0
2384,0.0,0.0,5.01,0.0,29.0,14.97,0.0,0.0,0.0,1.0,0,0,1
2385,0.0,0.0,1.0,0.0,30.0,3.14,0.67,0.0,0.0,0.0,0,0,2
2387,0.0,0.0,4.87,2.55,30.0,19.95,0.17,1.0,0.0,0.97,0,0,2
2388,0.0,11.8,1.0,0.0,22.5,1.15,0.0,0.0,0.0,0.0,0,0,0
2389,5715.0,0.0,4.45,22.99,30.0,2.96,0.89,0.09,0.91,0.87,114,0,0
2390,6383.31,0.0,2.31,21.98,30.0,10.28,0.68,0.08,0.78,0.37,460,0,1
2391,0.0,0.0,5.0,0.0,30.0,17.19,0.0,0.0,0.0,1.0,0,0,2
2392,0.0,0.0,1.46,0.0,29.833000000000002,10.74,0.0,0.0,0.0,0.16,0,0,1
2393,7319.3,0.0,4.08,23.07,28.0,0.85,0.97,0.06,0.89,0.83,-6753,0,2
2395,41.02,20.5,4.88,0.75,10.833,0.07,0.91,0.0,0.17,0.17,-2038,0,0
2396,0.0,0.0,1.27,0.0,29.5,7.98,0.25,0.0,0.0,0.07,0,0,0
2397,3574.5,0.0,4.33,14.25,30.0,2.53,0.85,0.0,1.0,0.86,273,0,1
2399,5.81,3.67,1.12,0.0,30.0,6.01,0.0,0.0,0.0,0.02,4,0,0
2400,0.0,0.0,4.78,1.05,23.833000000000002,13.03,0.07,0.17,0.17,0.96,0,0,0
2401,0.0,9.0,1.71,0.0,16.167,4.8,0.0,0.0,0.0,0.09,0,0,0
2402,0.01,0.0,5.0,0.67,27.833000000000002,5.8,0.1,0.0,0.0,0.67,0,0,2
2403,2517.79,0.0,4.31,10.5,30.0,2.56,0.84,0.17,0.83,0.86,262,0,1
2404,0.0,0.0,5.0,0.0,24.0,9.95,0.0,0.0,0.0,1.0,0,0,0
2405,0.0,17.75,4.88,0.0,3.5,0.39,0.0,0.0,0.0,0.17,0,0,1
2406,5.98,0.0,5.0,0.73,29.166999999999998,13.1,0.05,0.17,0.17,1.0,0,0,1
2407,0.54,0.0,4.64,0.0,19.0,8.54,0.0,0.0,0.0,0.92,0,0,1
2408,7064.46,0.0,1.34,29.15,30.0,10.03,0.74,0.99,0.0,0.09,2283,0,2
2410,4266.19,0.0,4.53,21.82,30.0,4.41,0.85,0.06,0.95,0.91,1867,0,1
2411,0.0,0.67,2.81,0.0,29.333000000000002,2.07,0.0,0.0,0.0,0.33,0,0,0
2412,0.44,2.33,1.28,0.0,28.333000000000002,5.99,0.0,0.0,0.0,0.08,0,0,1
2413,0.0,0.0,3.44,0.0,24.0,11.29,0.0,0.0,0.0,0.7,0,0,1
